
mode= LSST_Y1 7.500000e+03 9.800000e+00 1.500000e+01[3.641650e+05, 2.265851e+05, 5.091342e+04, -1.614679e+04, -3.480166e+03, -1.903951e+05, 4.612126e+04],
[2.265851e+05, 1.761375e+05, 2.207318e+04, -1.046653e+04, -2.589386e+03, -6.263547e+04, 1.575479e+04],
[5.091342e+04, 2.207318e+04, 1.880636e+04, -7.954933e+02, -1.231487e+02, -5.331868e+04, 1.339772e+04],
[-1.614679e+04, -1.046653e+04, -7.954933e+02, 1.193837e+03, 2.573070e+02, 4.636428e+03, -1.175441e+03],
[-3.480166e+03, -2.589386e+03, -1.231487e+02, 2.573070e+02, 6.468821e+01, 8.177769e+02, -2.029341e+02],
[-1.903951e+05, -6.263547e+04, -5.331868e+04, 4.636428e+03, 8.177769e+02, 3.624024e+05, -5.898829e+04],
[4.612126e+04, 1.575479e+04, 1.339772e+04, -1.175441e+03, -2.029341e+02, -5.898829e+04, 1.415729e+04],



mode= LSST_Y1 1.300000e+04 1.210000e+01 2.000000e+01[7.626945e+05, 5.004184e+05, 1.077642e+05, -3.374180e+04, -7.717767e+03, -3.746371e+05, 9.155621e+04],
[5.004184e+05, 3.929588e+05, 5.156588e+04, -2.323734e+04, -5.954235e+03, -1.423096e+05, 3.598836e+04],
[1.077642e+05, 5.156588e+04, 3.980254e+04, -1.611107e+03, -2.736299e+02, -1.028758e+05, 2.615485e+04],
[-3.374180e+04, -2.323734e+04, -1.611107e+03, 2.382623e+03, 5.418475e+02, 9.305423e+03, -2.352700e+03],
[-7.717767e+03, -5.954235e+03, -2.736299e+02, 5.418475e+02, 1.397887e+02, 1.783276e+03, -4.408660e+02],
[-3.746371e+05, -1.423096e+05, -1.028758e+05, 9.305423e+03, 1.783276e+03, 5.778464e+05, -1.077049e+05],
[9.155621e+04, 3.598836e+04, 2.615485e+04, -2.352700e+03, -4.408660e+02, -1.077049e+05, 2.586648e+04],



mode= LSST_Y1 1.600000e+04 1.510000e+01 2.500000e+01[1.151835e+06, 7.868144e+05, 1.656946e+05, -4.973175e+04, -1.189927e+04, -5.363536e+05, 1.324790e+05],
[7.868144e+05, 6.277332e+05, 8.665542e+04, -3.533279e+04, -9.481578e+03, -2.320680e+05, 5.917177e+04],
[1.656946e+05, 8.665542e+04, 6.017438e+04, -2.587500e+03, -4.687356e+02, -1.435251e+05, 3.692014e+04],
[-4.973175e+04, -3.533279e+04, -2.587500e+03, 3.371723e+03, 7.939432e+02, 1.352340e+04, -3.438537e+03],
[-1.189927e+04, -9.481578e+03, -4.687356e+02, 7.939432e+02, 2.155713e+02, 2.804557e+03, -6.985864e+02],
[-5.363536e+05, -2.320680e+05, -1.435251e+05, 1.352340e+04, 2.804557e+03, 7.258975e+05, -1.420428e+05],
[1.324790e+05, 5.917177e+04, 3.692014e+04, -3.438537e+03, -6.985864e+02, -1.420428e+05, 3.429917e+04],


